Name,Assets
DeVos,579783484
Ross,326224177
Cohn,252952172
Kushner,241037233
Tillerson,239488353
Cordish,197281047
Mnuchin,154137166
Liddell,75262171
Lighthizer,18627275
Bannon,11850014
Chao,11269045
Conway,11015017
Perdue,11269045
Rosen,9086316
Coats,8770090
Carson,8114059
Price,8026265
Mattis,3563022
Spicer,3900059
Mulvaney,3239057
Sessions,2938056
Eisenberg,2951034
Wilson,2150150
Zinke,1812011
McGinley,1331036
Perry,891027
Hahn,1006009
Priebus,604008
Navarro,516013
Acosta,431006
Pruitt,210006
Kelly,181005
Bossert,140013
Gorka,101010
Pompeo,77021
Haley,66003